accession	reason
DRR046921	busco_completeness_below_0.5
DRR068959	busco_completeness_below_0.5
DRR181154	busco_completeness_below_0.5
DRR255663	busco_completeness_below_0.5
DRR396287	busco_completeness_below_0.5
DRR491362	busco_completeness_below_0.5
DRR492921	busco_completeness_below_0.5
DRR518379	busco_completeness_below_0.5
DRR620892	busco_completeness_below_0.5
DRR673920	busco_completeness_below_0.5
DRR706890	busco_completeness_below_0.5
DRR764725	busco_completeness_below_0.5
DRR841773	busco_completeness_below_0.5
DRR848194	busco_completeness_below_0.5
ERR10216300	busco_completeness_below_0.5
ERR10496189	busco_completeness_below_0.5
ERR10496282	busco_completeness_below_0.5
ERR10496541	busco_completeness_below_0.5
ERR11182513	busco_completeness_below_0.5
ERR12259820	busco_completeness_below_0.5
ERR13248989	busco_completeness_below_0.5
ERR13317829	busco_completeness_below_0.5
ERR13615214	busco_completeness_below_0.5
ERR15551454	busco_completeness_below_0.5
ERR16650981	busco_completeness_below_0.5
ERR16660979	busco_completeness_below_0.5
ERR16782130	busco_completeness_below_0.5
ERR169806	busco_completeness_below_0.5
ERR2007921	busco_completeness_below_0.5
ERR2007932	busco_completeness_below_0.5
ERR2040117	busco_completeness_below_0.5
ERR2040131	busco_completeness_below_0.5
ERR2040142	busco_completeness_below_0.5
ERR2040148	busco_completeness_below_0.5
ERR2040158	busco_completeness_below_0.5
ERR2040180	busco_completeness_below_0.5
ERR2040187	busco_completeness_below_0.5
ERR2040223	busco_completeness_below_0.5
ERR2040224	busco_completeness_below_0.5
ERR2040225	busco_completeness_below_0.5
ERR2040226	busco_completeness_below_0.5
ERR2040237	busco_completeness_below_0.5
ERR2040251	busco_completeness_below_0.5
ERR2040296	busco_completeness_below_0.5
ERR2040302	busco_completeness_below_0.5
ERR2040303	busco_completeness_below_0.5
ERR2040304	busco_completeness_below_0.5
ERR2040306	busco_completeness_below_0.5
ERR2040307	busco_completeness_below_0.5
ERR2040312	busco_completeness_below_0.5
ERR2040313	busco_completeness_below_0.5
ERR2040314	busco_completeness_below_0.5
ERR2040329	busco_completeness_below_0.5
ERR2040359	busco_completeness_below_0.5
ERR2040363	busco_completeness_below_0.5
ERR2040387	busco_completeness_below_0.5
ERR2040417	busco_completeness_below_0.5
ERR2040420	busco_completeness_below_0.5
